WikiArticle	Language	Programming	Computer	Software	Hardware	Data	Player	Online	System	Development	Machine	Console	Developer	Design	History	Technology	Standard	Information	Article	Example	Game	Programming	Action	Company	Latest	Version	Released	Character	Main	Line	Code	Series
7400_series	0	0	0	1	0	0	8	0	0	0	0	0	0	0	2	3	6	7	2	2	2	0	0	2	0	2	2	0	1	1	3	34
Action-adventure_game	0	0	1	2	2	0	0	9	2	2	0	0	0	0	4	7	0	0	1	2	1	73	27	0	0	1	0	3	1	0	0	18
Action_game	0	0	1	2	0	0	0	29	2	0	1	0	0	0	3	3	1	0	2	2	1	50	48	0	0	2	2	4	1	0	0	1
Adobe_Flash	0	10	15	2	41	8	10	118	4	12	13	4	1	7	5	10	6	4	7	11	3	7	2	3	5	33	21	1	10	1	11	4
Adventure_game	0	8	5	34	15	5	1	53	7	21	21	2	7	3	22	6	2	1	6	14	7	233	13	14	1	11	41	13	12	4	2	34
Analog_computer	0	0	1	86	0	3	7	0	2	11	4	5	0	0	5	9	9	1	3	2	5	0	0	6	0	1	1	0	1	1	0	0
App_store	0	0	0	8	26	0	1	0	2	5	1	0	0	0	0	3	0	0	4	3	1	4	0	2	0	3	1	0	1	1	1	0
Arcade_cabinet	0	0	1	7	1	4	2	13	0	5	0	4	3	0	1	1	0	4	2	6	0	37	3	2	0	3	2	0	5	0	0	0
Arcade_game	0	0	4	14	1	58	1	11	7	12	4	9	17	0	5	33	8	1	2	7	1	138	7	4	2	3	9	0	4	0	1	31
Artificial_intelligence_(video_games)	0	0	5	31	3	0	2	22	0	1	6	3	0	0	1	4	3	0	4	7	7	70	5	0	0	2	1	1	3	0	0	1
AS_Douglas	0	0	2	18	1	0	1	1	0	2	1	4	0	0	1	2	0	0	1	4	1	4	0	1	0	1	0	0	1	0	1	0
Atari	0	0	0	12	2	3	0	0	0	7	3	2	9	1	3	12	2	0	1	8	0	25	0	20	0	3	5	0	6	1	1	3
Atari,_Inc	0	0	0	17	1	3	0	1	0	4	4	5	9	1	3	12	2	0	2	2	0	38	0	11	0	6	6	0	1	0	0	0
Atari_2600	0	0	1	17	4	13	3	3	1	37	3	7	35	1	14	14	4	6	1	5	2	65	2	11	0	15	22	0	5	10	2	2
